team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Stanford,16.0,16.0,0.5,6.27,8.59,2124.0,2198.0,2022
Stephen F. Austin,22.0,10.0,0.688,2.43,-1.6,2385.0,2190.0,2022
Stetson,11.0,19.0,0.367,-10.34,-4.07,2090.0,2144.0,2022
Stony Brook,18.0,13.0,0.581,-6.63,-5.43,2261.0,2267.0,2022
Syracuse,16.0,17.0,0.485,10.12,7.82,2553.0,2477.0,2022
Tarleton State,14.0,17.0,0.452,-3.18,-0.5,2002.0,2025.0,2022
TCU,21.0,13.0,0.618,13.72,10.16,2328.0,2207.0,2022
Temple,17.0,12.0,0.586,4.61,4.3,1936.0,1927.0,2022
Tennessee,27.0,8.0,0.771,20.46,9.94,2571.0,2203.0,2022
Tennessee State,14.0,18.0,0.438,-9.34,-7.31,2282.0,2246.0,2022
Tennessee Tech,11.0,21.0,0.344,-7.27,-3.03,2328.0,2357.0,2022
Tennessee-Martin,8.0,22.0,0.267,-11.13,-3.02,2067.0,2206.0,2022
Texas,22.0,12.0,0.647,17.01,8.87,2339.0,2062.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Texas A&M,27.0,13.0,0.675,12.93,7.42,2908.0,2643.0,2022
Texas A&M-Corpus Christi,23.0,12.0,0.657,-6.78,-9.1,2682.0,2454.0,2022
Texas Southern,19.0,13.0,0.594,-3.3,-6.24,2209.0,2115.0,2022
Texas State,21.0,8.0,0.724,0.14,-2.86,2043.0,1834.0,2022
Texas Tech,27.0,10.0,0.73,20.08,8.65,2667.0,2244.0,2022
Texas-Rio Grande Valley,8.0,23.0,0.258,-10.18,-1.28,2212.0,2438.0,2022
The Citadel,13.0,18.0,0.419,-6.8,-1.97,2381.0,2382.0,2022
Toledo,26.0,8.0,0.765,6.26,-3.22,2717.0,2334.0,2022
Towson,25.0,9.0,0.735,6.47,-2.15,2478.0,2185.0,2022
Troy,20.0,12.0,0.625,-3.56,-3.52,2214.0,2100.0,2022
Tulane,14.0,15.0,0.483,6.74,5.33,2121.0,2080.0,2022
Tulsa,11.0,20.0,0.355,1.56,4.07,2089.0,2167.0,2022
UAB,27.0,8.0,0.771,10.9,-0.14,2811.0,2336.0,2022
UC Davis,13.0,11.0,0.542,-3.7,-4.29,1628.0,1593.0,2022
UC Irvine,15.0,10.0,0.6,1.59,-0.93,1656.0,1507.0,2022
UC Riverside,16.0,12.0,0.571,-0.92,-1.89,1865.0,1784.0,2022
UC San Diego,13.0,16.0,0.448,-7.04,-3.78,2036.0,2046.0,2022
UC Santa Barbara,17.0,11.0,0.607,1.38,-4.39,2066.0,1841.0,2022
UCF,18.0,12.0,0.6,6.23,4.63,2095.0,2047.0,2022
UCLA,27.0,8.0,0.771,19.3,8.36,2639.0,2256.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
UNC Asheville,17.0,15.0,0.531,-4.52,-5.28,2410.0,2201.0,2022
UNC Greensboro,17.0,15.0,0.531,-2.47,-1.99,2083.0,2079.0,2022
UNC Wilmington,27.0,9.0,0.75,-0.66,-2.84,2596.0,2483.0,2022
UT Arlington,11.0,18.0,0.379,-5.49,-0.94,1948.0,1993.0,2022
Utah,11.0,20.0,0.355,5.45,6.61,2161.0,2197.0,2022
Utah State,18.0,16.0,0.529,10.41,4.53,2497.0,2273.0,2022
Utah Tech,13.0,18.0,0.419,-8.53,-0.53,2247.0,2296.0,2022
Utah Valley,20.0,12.0,0.625,2.37,-1.6,2279.0,2084.0,2022
